gene_id,symbol,HPctrl1,HPctrl2,HPctrl3,HPctrl4,HP1hr1,HP1hr2,HP1hr3,HP1hr4,HP4hr1,HP4hr2,HP4hr3,HP4hr4
ENSMUSG00000005225,Plekha8,801.4218231,825.8669143,909.9929049,833.4926302,883.0102706,1014.122491,872.120096,718.2211707,915.0536481,1157.539201,854.893239,803.5983429
ENSMUSG00000005220,Corin,7.41199374,5.586472927,5.855810199,0.980579565,1.962245046,9.229783767,9.002530023,1.674175223,9.252311912,8.606239416,17.14071657,4.181052773
ENSMUSG00000005204,Senp3,3304.822709,3431.025456,3169.16448,3421.242102,3376.042601,3045.828643,3305.053835,3569.341576,2904.300709,2804.55827,3314.586067,3387.488957
ENSMUSG00000005202,Shbg,1.852998435,1.862157642,4.684648159,1.96115913,NA,NA,NA,NA,NA,NA,2.142589571,NA
ENSMUSG00000005198,Polr2a,9540.162443,10375.0113,9338.846105,9263.53515,9730.773182,8062.21612,8276.70104,10618.45635,9649.236093,7615.446103,9509.883813,7143.746768
ENSMUSG00000005161,Prdx2,10100.69447,10620.81611,9693.708203,11187.43226,10222.31557,7874.159276,9318.74389,10232.55896,9858.338342,7889.769984,9898.76382,11880.87956
ENSMUSG00000005150,Wdr83,643.9169562,786.7616038,749.5437054,702.0949685,648.5219876,548.0184112,596.417614,708.1761194,751.2877273,554.0266624,732.7656334,746.7360252
ENSMUSG00000005148,Klf5,163.0638623,182.4914489,187.3859264,191.2130152,486.6367713,722.2305798,734.8315132,875.5936417,288.6721317,221.610665,233.5422633,241.6648503
ENSMUSG00000005142,Man2b1,3979.314139,4366.759671,4223.210315,4571.461932,4692.709027,3794.594851,4444.999199,4514.413489,3774.94326,3272.522538,4358.027188,3877.508342
ENSMUSG00000005131,4930550C14Rik,148.2398748,140.592902,105.4045836,89.23274041,113.8102127,158.060047,182.301233,136.4452807,118.4295925,147.38185,99.63041507,152.1903209
ENSMUSG00000005125,Ndrg1,12091.74129,14074.18746,13784.57721,13931.09388,17873.109,18761.84295,18333.65239,16751.79728,13494.49692,15216.90707,15663.40106,14105.19963
ENSMUSG00000005124,Ccn4,608.7099859,675.9632241,858.4617751,1021.763907,1393.193982,1709.817443,1474.164291,1069.797968,1002.02538,1307.072611,1325.19165,965.8231905
ENSMUSG00000005107,Slc2a9,421.557144,463.6772529,443.8704131,464.7947138,477.8066686,441.8758978,474.8834587,470.4432377,326.6066105,386.2049938,305.3190139,339.5014852
ENSMUSG00000005103,Wdr1,9139.914781,10591.02159,11373.15457,11802.25564,12838.96933,13077.44987,13337.24823,13276.20952,11273.94206,10787.92111,13154.42867,10957.70311
ENSMUSG00000005102,Eif2ak4,1481.472249,1536.280055,1449.898605,1453.218915,1278.402647,1322.166525,1387.51494,1435.605254,1561.790251,1382.377206,1612.298653,1332.083413
ENSMUSG00000005089,Slc1a2,10070.11999,7213.998706,9243.98198,7095.473732,7471.248012,9312.851821,8878.745235,7371.393508,10422.72937,12704.96094,8361.455803,8271.794806
ENSMUSG00000005087,Cd44,6932.067145,8051.969645,9260.378248,8583.012932,9788.659411,12505.20328,11141.75622,8437.843125,10207.1505,10742.73835,9534.523593,8685.71903
ENSMUSG00000005078,Jkamp,1488.884243,1553.039474,1886.742046,1655.218306,1995.603212,2034.013598,1940.04522,1762.90651,1850.462382,2003.102224,1883.336233,1685.800478
ENSMUSG00000005069,Pex5,2910.134042,3141.459942,2655.024344,3210.417496,2670.615507,2170.152908,2581.475484,2920.598677,2636.908895,2184.909032,2633.242583,3073.909999
ENSMUSG00000005057,Sh2b2,192.7118372,229.04539,180.3589541,147.0869347,144.2250109,106.1425133,146.2911129,223.5023923,162.8406897,112.9568923,152.1238596,219.0871653
ENSMUSG00000005054,Cstb,1247.067947,1266.267197,1309.35916,1394.384141,1339.232244,1218.331457,1314.369383,1330.132215,1230.557484,1052.112769,1333.762008,1759.387007
ENSMUSG00000005045,Chd5,933.9112112,607.9944702,483.6899224,415.7657355,510.1837119,342.6557223,334.2189271,600.1918175,665.2412265,459.3580288,432.8030934,574.476651
ENSMUSG00000005043,Sgsh,1258.185937,1230.886202,1099.721155,1286.520389,953.6510922,673.774215,816.9795996,1287.440747,928.0068848,784.2435668,1013.444867,1066.168457
ENSMUSG00000005034,Prkacb,5911.065008,5866.727652,5941.305028,6047.234177,6064.318314,8177.588417,7304.427798,5832.826477,6558.038683,8433.038847,6151.37466,6549.201063
ENSMUSG00000004996,Mri1,512.3540673,553.0608197,479.0052743,449.1054408,354.1852308,309.1977562,330.8429784,431.9372076,415.4288049,355.0073759,413.5197873,494.2004377
ENSMUSG00000004994,Yju2b,389.1296713,486.9542234,487.2034085,460.8723955,414.0337046,297.6605265,375.8556285,396.7795279,358.064471,295.8394799,460.6567579,402.2172767
ENSMUSG00000004988,Fxyd4,6.485494522,5.586472927,7.026972238,5.88347739,3.924490091,NA,6.751897517,3.348350446,7.40184953,5.378899635,2.142589571,6.689684437
ENSMUSG00000004980,Hnrnpa2b1,42412.35468,42514.92113,44396.4106,43598.52862,44392.85079,57433.48321,49838.00621,43643.2368,45245.65571,61168.84665,44199.48027,48737.69596
ENSMUSG00000004961,Syt5,542.0020422,535.3703221,512.9689734,470.6781912,423.8449299,278.047236,329.7176621,384.2232137,397.8494122,279.702781,310.6754879,464.0968578
ENSMUSG00000004952,Rasa4,173.2553537,267.2196217,244.7728663,246.1254708,207.0168523,121.1409119,202.5569255,219.3169542,131.3828292,107.5779927,201.4034197,199.8543225
ENSMUSG00000004951,Hspb1,733.7873803,985.0813927,760.0841638,1195.32649,916.3684364,591.859884,741.5834107,1356.919018,1477.594212,731.5303503,2227.22186,2268.639235
ENSMUSG00000004948,Zp3,7.41199374,NA,4.684648159,NA,NA,NA,NA,1.674175223,NA,2.151559854,6.427768714,NA
ENSMUSG00000004947,Dtx2,632.7989655,782.1062097,579.7252097,706.0172868,539.6173876,432.6461141,518.7707926,664.6475636,637.4842907,442.14555,644.919461,679.8391809
ENSMUSG00000004945,Tmem242,2529.342864,2494.360162,2445.386339,2606.380484,2434.164979,2005.170523,2306.898318,2352.216189,2291.797661,1844.962575,2091.167422,2864.021149
ENSMUSG00000004937,Sgta,4406.430278,4944.02854,4384.830677,4641.083081,4732.93505,3245.422717,3836.203106,4828.321344,4232.007469,2770.133312,4034.496163,4442.786676
ENSMUSG00000004936,Map2k1,4141.451502,4163.784488,4004.203014,4636.180183,4189.393173,4333.383479,4216.56,4361.226456,3844.3356,3990.067749,4123.41363,4281.398039
ENSMUSG00000004934,Pias4,971.8976791,1148.951265,922.8756873,1116.880125,926.1796616,614.9343435,797.8492233,1017.898536,867.8668574,649.7710759,940.5968219,998.4354022
ENSMUSG00000004933,Matk,214.9478185,220.6656806,187.3859264,136.3005595,149.1306235,99.22017549,85.52403522,170.7658728,133.2332915,67.7741354,116.7711316,159.7162159
ENSMUSG00000004931,Apba3,1486.104745,1317.476532,1069.270942,1419.87921,979.1602778,558.4019179,744.9593594,1315.901725,943.735815,615.3461182,1020.943931,1276.893517
ENSMUSG00000004929,Thop1,3277.027732,3183.358489,2871.689321,3231.009667,2580.352235,1795.192943,1946.797118,2906.368187,2690.572304,1571.714473,2349.349465,2886.598834
ENSMUSG00000004902,Slc25a18,7854.860366,6152.56885,5913.197139,4868.57754,5453.078982,4161.478756,4808.476349,5867.14707,4547.511305,3544.694859,2699.66286,4337.424147
ENSMUSG00000004897,Hdgf,14430.22531,15396.31939,14275.2941,17252.31687,14561.82048,12371.37142,12881.49515,15718.83117,13925.65466,12317.68016,14239.65029,17138.97153
ENSMUSG00000004896,Mettl25b,756.0233615,860.3168307,721.4358165,677.5804794,701.5026038,636.8550799,625.6758366,688.9231043,786.4465125,703.5600722,710.2684429,719.9772875
ENSMUSG00000004895,Prcc,2588.638814,2864.929533,2458.269121,2740.719884,2332.128237,1551.757396,1898.408519,2227.490134,2122.480353,1441.545102,2185.441363,2497.760926
ENSMUSG00000004894,Hapln2,1.852998435,4.655394106,7.026972238,5.88347739,5.886735137,2.307445942,2.250632506,11.71922656,11.10277429,3.227339781,6.427768714,10.87073721
ENSMUSG00000004892,Bcan,6030.583407,6047.356943,4764.287178,5387.30413,4456.258499,3176.199339,3727.04743,5595.093596,4131.157269,2829.301208,4137.340463,4998.030485
ENSMUSG00000004891,Nes,37099.80817,37354.8823,33105.23738,46300.02532,38413.89014,29910.26802,32971.76621,45494.8746,29621.27659,21455.35486,34348.92472,32868.92827
